============================================================================================&=============================================================================================
     Name      |  Actual  |   Pred   |   Diff   |    R2    |*|     Name      |  Actual  |   Pred   |   Diff   |    R2    |*|     Name      |  Actual  |   Pred   |   Diff   |    R2    |*|
ptend_q0001_21 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0001_22 |   0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0001_23 |   0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_q0001_24 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0001_25 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0001_26 |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0001_27 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0001_28 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0001_29 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|
ptend_q0001_30 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_q0001_31 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_q0001_32 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|
ptend_q0001_33 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_q0001_34 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0001_35 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|
ptend_q0001_36 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_q0001_37 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_q0001_38 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|
ptend_q0001_39 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_q0001_40 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_q0001_41 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_q0001_42 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0001_43 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0001_44 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_q0001_45 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0001_46 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_q0001_47 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|
ptend_q0001_48 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_q0001_49 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_q0001_50 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_q0001_51 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0001_52 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_q0001_53 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_q0001_54 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0001_55 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0001_56 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0001_57 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_q0001_58 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0001_59 |   0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_q0002_0  |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0002_1  |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0002_2  |   0.00000|   0.00000|   0.00000|   1.00000|*|
ptend_q0002_3  |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0002_4  |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0002_5  |   0.00000|   0.00000|   0.00000|   1.00000|*|
ptend_q0002_6  |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0002_7  |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0002_8  |   0.00000|   0.00000|   0.00000|   1.00000|*|
ptend_q0002_9  |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0002_10 |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0002_11 |   0.00000|   0.00000|   0.00000|   1.00000|*|
ptend_q0002_12 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_13 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_14 |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0002_15 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_16 |   0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0002_17 |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0002_18 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_19 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_20 |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0002_21 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_22 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_23 |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0002_24 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_25 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_26 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0002_27 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_28 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_29 |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0002_30 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_31 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_32 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_q0002_33 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0002_34 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0002_35 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_q0002_36 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0002_37 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0002_38 |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0002_39 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0002_40 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0002_41 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_q0002_42 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0002_43 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_q0002_44 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0002_45 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_46 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_47 |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0002_48 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_49 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_50 |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0002_51 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_52 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_53 |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0002_54 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_55 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0002_56 |   0.00000|   0.00000|   0.00000|   1.00000|*|
ptend_q0002_57 |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0002_58 |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0002_59 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0003_0  |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0003_1  |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0003_2  |   0.00000|   0.00000|   0.00000|   1.00000|*|
ptend_q0003_3  |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0003_4  |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0003_5  |   0.00000|   0.00000|   0.00000|   1.00000|*|
ptend_q0003_6  |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0003_7  |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0003_8  |   0.00000|   0.00000|   0.00000|   1.00000|*|
ptend_q0003_9  |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0003_10 |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0003_11 |   0.00000|   0.00000|   0.00000|   1.00000|*|
ptend_q0003_12 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_13 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_14 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_q0003_15 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0003_16 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0003_17 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0003_18 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_19 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_20 |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0003_21 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_22 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_23 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0003_24 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_25 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_q0003_26 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_q0003_27 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0003_28 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0003_29 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|
ptend_q0003_30 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_31 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_32 |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0003_33 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_34 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_35 |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0003_36 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_37 |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_38 |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0003_39 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_40 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_41 |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0003_42 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_43 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_44 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_q0003_45 |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0003_46 |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0003_47 |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0003_48 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_49 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_50 |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_q0003_51 |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0003_52 |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0003_53 |   0.00000|   0.00000|   0.00000|   1.00000|*|
ptend_q0003_54 |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0003_55 |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0003_56 |   0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_q0003_57 |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0003_58 |   0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_q0003_59 |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|
ptend_u_0      |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_u_1      |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_u_2      |   0.00000|   0.00000|   0.00000|   1.00000|*|
ptend_u_3      |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_u_4      |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_u_5      |   0.00000|   0.00000|   0.00000|   1.00000|*|
ptend_u_6      |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_u_7      |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_u_8      |   0.00000|   0.00000|   0.00000|   1.00000|*|
ptend_u_9      |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_u_10     |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_u_11     |   0.00000|   0.00000|   0.00000|   1.00000|*|
ptend_u_12     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_u_13     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_u_14     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_u_15     |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_u_16     |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_u_17     |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|
ptend_u_18     |   0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_u_19     |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_u_20     |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_u_21     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_u_22     |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_u_23     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_u_24     |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_u_25     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_u_26     |  -0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_u_27     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_u_28     |   0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_u_29     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_u_30     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_u_31     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_u_32     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_u_33     |   0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_u_34     |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_u_35     |  -0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_u_36     |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_u_37     |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_u_38     |  -0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_u_39     |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_u_40     |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_u_41     |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|
ptend_u_42     |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_u_43     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_u_44     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_u_45     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_u_46     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_u_47     |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_u_48     |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_u_49     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_u_50     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_u_51     |  -0.00000|  -0.00001|   0.00000|   1.00000|*|ptend_u_52     |  -0.00001|  -0.00001|   0.00000|   1.00000|*|ptend_u_53     |  -0.00001|  -0.00004|   0.00002|   1.00000|*|
ptend_u_54     |   0.00001|   0.00004|  -0.00002|   1.00000|*|ptend_u_55     |  -0.00001|  -0.00000|  -0.00001|   1.00000|*|ptend_u_56     |  -0.00007|   0.00000|  -0.00007|   1.00000|*|
ptend_u_57     |   0.00002|   0.00000|   0.00002|   1.00000|*|ptend_u_58     |   0.00001|  -0.00001|   0.00002|   1.00000|*|ptend_u_59     |   0.00006|   0.00002|   0.00004|   1.00000|*|
ptend_v_0      |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_v_1      |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_v_2      |   0.00000|   0.00000|   0.00000|   1.00000|*|
ptend_v_3      |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_v_4      |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_v_5      |   0.00000|   0.00000|   0.00000|   1.00000|*|
ptend_v_6      |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_v_7      |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_v_8      |   0.00000|   0.00000|   0.00000|   1.00000|*|
ptend_v_9      |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_v_10     |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_v_11     |   0.00000|   0.00000|   0.00000|   1.00000|*|
ptend_v_12     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_v_13     |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_v_14     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_v_15     |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_v_16     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_v_17     |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_v_18     |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_v_19     |   0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_v_20     |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_v_21     |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_v_22     |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_v_23     |   0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_v_24     |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_v_25     |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_v_26     |   0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_v_27     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_v_28     |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_v_29     |   0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_v_30     |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_v_31     |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_v_32     |  -0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_v_33     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_v_34     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_v_35     |   0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_v_36     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_v_37     |   0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_v_38     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_v_39     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_v_40     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_v_41     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_v_42     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_v_43     |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_v_44     |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|
